31,43/C1,72,92,PA22,EIC/EXTINT[6],-,-,-,-,-,X16/Y16,SERCOM3/PAD[0],SERCOM5/PAD[1],TC4/WO[0],TCC1/WO[6],TCC0/WO[2],-,CAN0/TX,I2S/SDI,PCC/DATA[6],-,-,CCL/IN[6]
32,44/C2,73,93,PA23,EIC/EXTINT[7],-,-,-,-,-,X17/Y17,SERCOM3/PAD[1],SERCOM5/PAD[0],TC4/WO[1],TCC1/WO[7],TCC0/WO[3],USB/SOF_1KHZ,CAN0/RX,I2S/FS[1],PCC/DATA[7],-,-,CCL/IN[7]
33,45/B1,74,94,PA24,EIC/EXTINT[8],-,-,-,-,-,-,SERCOM3/PAD[2],SERCOM5/PAD[2],TC5/WO[0],TCC2/WO[2],PDEC/QDI[0],USB/DM,CAN0/TX,-,-,-,-,CCL/IN[8]
34,46/A1,75,95,PA25,EIC/EXTINT[9],-,-,-,-,-,-,SERCOM3/PAD[3],SERCOM5/PAD[3],TC5/WO[1],-,PDEC/QDI[1],USB/DP,CAN0/RX,-,-,-,-,CCL/OUT[2]
37,49/A2,78,98,PB22,EIC/EXTINT[6],-,-,-,-,-,-,SERCOM1/PAD[2],SERCOM5/PAD[2],TC7/WO[0],-,PDEC/QDI[2],USB/SOF_1KHZ,-,-,-,-,GCLK/IO[0],CCL/IN[0]
38,50/A3,79,99,PB23,EIC/EXTINT[7],-,-,-,-,-,-,SERCOM1/PAD[3],SERCOM5/PAD[3],TC7/WO[1],-,PDEC/QDI[0],-,-,-,-,-,GCLK/IO[1],CCL/OUT[0]
-,-,80,100,PB24,EIC/EXTINT[8],-,-,-,-,-,SERCOM0/PAD[0],SERCOM2/PAD[1],-,-,-,PDEC/QDI[1],-,-,-,-,-,AC/CMP[0],-
-,-,81,101,PB25,EIC/EXTINT[9],-,-,-,-,-,SERCOM0/PAD[1],SERCOM2/PAD[0],-,-,-,PDEC/QDI[2],-,-,-,-,-,AC/CMP[1],-
-,-,-,102,PB26,EIC/EXTINT[12],-,-,-,-,-,SERCOM2/PAD[0],SERCOM4/PAD[1],-,-,TCC1/WO[2],-,-,-,-,-,-,-,-
-,-,-,103,PB27,EIC/EXTINT[13],-,-,-,-,-,SERCOM2/PAD[1],SERCOM4/PAD[0],-,-,TCC1/WO[3],-,-,-,-,-,-,-,-
-,-,-,104,PB28,EIC/EXTINT[14],-,-,-,-,-,SERCOM2/PAD[2],SERCOM4/PAD[2],-,-,TCC1/WO[4],-,-,-,I2S/SCK[1],-,-,-,-
-,-,-,105,PB29,EIC/EXTINT[15],-,-,-,-,-,SERCOM2/PAD[3],SERCOM4/PAD[3],-,-,TCC1/WO[5],-,-,-,I2S/MCK[1],-,-,-,-
-,-,82,108,PC24,EIC/EXTINT[8],-,-,-,-,-,SERCOM0/PAD[2],SERCOM2/PAD[2],-,-,-,-,CORTEX_CM4/TRACEDATA[3],-,-,-,-,-,-
-,-,83,109,PC25,EIC/EXTINT[9],-,-,-,-,-,SERCOM0/PAD[3],SERCOM2/PAD[3],-,-,-,-,CORTEX_CM4/TRACEDATA[2],-,-,-,-,-,-
-,-,84,110,PC26,EIC/EXTINT[10],-,-,-,-,-,-,-,-,-,-,-,CORTEX_CM4/TRACEDATA[1],-,-,-,-,-,-
-,-,85,111,PC27,EIC/EXTINT[11],-,-,-,-,-,SERCOM1/PAD[0],-,-,-,-,-,CORTEX_CM4/TRACECLK,-,-,-,-,CORTEX_M4/SWO,CCL/IN[4]
-,-,86,112,PC28,EIC/EXTINT[12],-,-,-,-,-,SERCOM1/PAD[1],-,-,-,-,-,CORTEX_CM4/TRACEDATA[0],-,-,-,-,-,CCL/IN[5]
-,39,51/B3,87,113,PA27,EIC/EXTINT[11],-,-,-,-,-,X18/Y18,-,-,-,-,-,-,-,-,-,GCLK/IO[1],-
40,52/B4,88,114,RESET_N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,57/C5,93,119,PA30,EIC/EXTINT[14],-,-,-,-,-,X19/Y19,SERCOM7/PAD[2],SERCOM1/PAD[2],TC6/WO[0],TCC2/WO[0],-,CORTEX_CM4/SWCLK,-,-,-,-,GCLK/IO[0],CCL/IN[3]
46,58/D5,94,120,PA31,EIC/EXTINT[15],-,-,-,-,-,-,SERCOM7/PAD[3],SERCOM1/PAD[3],TC6/WO[1],TCC2/WO[1],-,-,-,-,-,-,-,CCL/OUT[1]
-,59/A6,95,121,PB30,EIC/EXTINT[14],-,-,-,-,-,SERCOM7/PAD[0],-,SERCOM5/PAD[1],TC0/WO[0],TCC4/WO[0],TCC0/WO[6],CORTEX_CM4/SWO,-,-,-,-,-,-
-,-,60/B6,96,122,PB31,EIC/EXTINT[15],-,-,-,-,-,SERCOM7/PAD[1],-,SERCOM5/PAD[0],TC0/WO[1],TCC4/WO[1],TCC0/WO[7],-,-,-,-,-,-
-,-,-,123,PC30,EIC/EXTINT[14],-,-,ADC1/AIN[12],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,124,PC31,EIC/EXTINT[15],-,-,ADC1/AIN[13],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61/A7,97,125,PB00,EIC/EXTINT[0],-,ADC0/AIN[12],-,-,-,X30/Y30,-,-,SERCOM5/PAD[2],TC7/WO[0],-,-,-,-,-,-,-,-,CCL/IN[1]
64/B7,98,126,PB01,EIC/EXTINT[1],-,ADC0/AIN[13],-,-,-,X31/Y31,-,-,SERCOM5/PAD[3],TC7/WO[1],-,-,-,-,-,-,-,-,CCL/IN[2]
47,63/A8,99,127,PB02,EIC/EXTINT[2],-,ADC0/AIN[14],-,-,-,X20/Y20,-,SERCOM5/PAD[0],TC6/WO[0],TCC2/WO[2],-,-,-,-,-,-,-,CCL/OUT[0]
